player_id,player_name,feature_season,outcome_season,position,team,outcome_games_played,outcome_total_ppr,outcome_ppg,outcome_spike_week_rate,outcome_dud_week_rate,outcome_total_targets,outcome_targets_per_game,outcome_total_receptions,outcome_receptions_per_game,outcome_total_receiving_yards,outcome_receiving_yards_per_game,outcome_total_receiving_tds,outcome_receiving_tds_per_game
00-0039365,J.Cowing,2023,2024,WR,SF,3,12.7,4.2333,0,0.3333,6,2,4,1.3333,80,26.6667,0,0
00-0039379,J.Thrash,2023,2024,WR,CLE,6,5.2,0.8667,0,1,7,1.1667,3,0.5,22,3.6667,0,0
00-0039386,B.Means,2023,2024,WR,NO,4,26.8,6.7,0,0.5,15,3.75,9,2.25,118,29.5,1,0.25
00-0039392,J.Jackson,2023,2024,WR,TEN,2,1.3,0.65,0,1,3,1.5,1,0.5,8,4,0,0
00-0039394,C.Washington,2023,2024,WR,ATL,2,2.4,1.2,0,1,2,1,1,0.5,14,7,0,0
00-0039410,R.Flournoy,2023,2024,WR,DAL,7,18.2,2.6,0,0.8571,14,2,10,1.4286,102,14.5714,0,0
00-0039424,D.Vele,2023,2024,WR,DEN,13,106.5,8.1923,0,0.3846,55,4.2308,41,3.1538,475,36.5385,3,0.2308
00-0039451,I.Williams,2023,2024,WR,DET,1,2.6,2.6,0,1,3,3,2,2,6,6,0,0
00-0039491,J.Coker,2023,2024,WR,CAR,11,92.56,8.4145,0.0909,0.2727,46,4.1818,32,2.9091,478,43.4545,2,0.1818
00-0039521,X.Weaver,2023,2024,WR,ARI,2,0,0,0,1,2,1,0,0,0,0,0,0
00-0039543,R.Keyton,2023,2024,WR,LV,2,1.7,0.85,0,1,3,1.5,1,0.5,7,3.5,0,0
00-0039589,K.Johnson,2023,2024,WR,TB,3,1.1,0.3667,0,1,1,0.3333,0,0,0,0,0,0
00-0039614,J.Jackson,2023,2024,WR,NO,1,-0.1,-0.1,0,1,0,0,0,0,0,0,0,0
00-0039623,M.Tipton,2023,2024,WR,NO,9,23.9,2.6556,0,0.8889,26,2.8889,14,1.5556,99,11,0,0
00-0039650,B.Oliver,2023,2024,WR,TEN,5,15.5,3.1,0,1,9,1.8,6,1.2,95,19,0,0
00-0039747,A.Smith,2023,2024,WR,PHI,3,17.7,5.9,0,0.6667,9,3,7,2.3333,41,13.6667,1,0.3333
00-0039751,J.Whittington,2023,2024,WR,LA,6,52.5,8.75,0,0.3333,28,4.6667,22,3.6667,293,48.8333,0,0
00-0039792,D.Walker,2023,2024,WR,BAL,2,9.1,4.55,0,0.5,3,1.5,1,0.5,21,10.5,1,0.5
00-0039810,J.Burton,2023,2024,WR,CIN,4,14.7,3.675,0,0.5,14,3.5,4,1,107,26.75,0,0
00-0039816,A.Gould,2023,2024,WR,IND,1,3.3,3.3,0,1,1,1,1,1,23,23,0,0
00-0039849,M.Harrison,2023,2024,WR,ARI,17,196.5,11.5588,0.1176,0.1765,116,6.8235,62,3.6471,885,52.0588,8,0.4706
00-0039853,J.Baker,2023,2024,WR,NE,4,2.2,0.55,0,1,4,1,1,0.25,12,3,0,0
00-0039855,J.McMillan,2023,2024,WR,TB,13,135.4,10.4154,0.1538,0.3846,58,4.4615,37,2.8462,461,35.4615,8,0.6154
00-0039868,T.Franklin,2023,2024,WR,DEN,16,67.1,4.1937,0,0.75,53,3.3125,28,1.75,263,16.4375,2,0.125
00-0039880,M.Washington,2023,2024,WR,MIA,12,56.8,4.7333,0,0.5833,36,3,26,2.1667,223,18.5833,0,0
00-0039890,A.Mitchell,2023,2024,WR,IND,17,53.76,3.1624,0,0.8235,55,3.2353,23,1.3529,312,18.3529,0,0
00-0039893,B.Thomas,2023,2024,WR,JAX,17,284,16.7059,0.3529,0.0588,133,7.8235,87,5.1176,1282,75.4118,10,0.5882
00-0039894,X.Worthy,2023,2024,WR,KC,16,187.2,11.7,0.1875,0.1875,98,6.125,59,3.6875,638,39.875,6,0.375
00-0039901,K.Coleman,2023,2024,WR,BUF,13,111.5,8.5769,0,0.1538,57,4.3846,29,2.2308,556,42.7692,4,0.3077
00-0039907,J.Polk,2023,2024,WR,NE,13,32.7,2.5154,0,0.7692,33,2.5385,12,0.9231,87,6.6923,2,0.1538
00-0039915,L.McConkey,2023,2024,WR,LAC,16,240.9,15.0563,0.1875,0.0625,112,7,82,5.125,1149,71.8125,7,0.4375
00-0039916,R.Pearsall,2023,2024,WR,SF,10,93.5,9.35,0.1,0.4,46,4.6,31,3.1,400,40,3,0.3
00-0039919,R.Odunze,2023,2024,WR,CHI,17,144.9,8.5235,0.1176,0.2941,101,5.9412,54,3.1765,734,43.1765,3,0.1765
00-0039920,M.Corley,2023,2024,WR,NYJ,5,7.2,1.44,0,1,6,1.2,3,0.6,16,3.2,0,0
