player_id,player_name,team,season,week,position,fantasy_points_ppr,targets,receptions,receiving_yards,receiving_tds,games,snap_share,route_participation,target_share,air_yard_share
00-0035208,O.Zaccheaus,ATL,2022,16,WR,5.8,7,4,18.0,0,,,,,
00-0035639,P.Campbell,IND,2022,16,WR,3.9000000000000004,5,2,19.0,0,,,,,
00-0032208,P.Dorsett,HOU,2022,16,WR,7.5,3,3,45.0,0,,,,,
00-0035022,P.Hart,SEA,2022,16,WR,1.2,2,1,2.0,0,,,,,
00-0036271,Q.Watkins,PHI,2022,16,WR,2.9000000000000004,5,1,19.0,0,,,,,
00-0028002,R.Cobb,GB,2022,16,WR,1.5,2,1,5.0,0,,,,,
00-0037816,R.Doubs,GB,2022,16,WR,6.6,6,3,36.0,0,,,,,
00-0034411,R.Gage,TB,2022,16,WR,11.5,6,5,65.0,0,,,,,
00-0034286,R.James,NYG,2022,16,WR,17.0,11,8,90.0,0,,,,,
00-0034407,R.McCloud,SF,2022,16,WR,13.100000000000001,1,0,0.0,0,,,,,
00-0037545,R.Shaheed,NO,2022,16,WR,8.100000000000001,5,4,41.0,0,,,,,
00-0030431,R.Woods,TEN,2022,16,WR,7.0,5,4,30.0,0,,,,,
00-0031588,S.Diggs,BUF,2022,16,WR,4.6,2,2,26.0,0,,,,,
00-0035298,S.Miller,TB,2022,16,WR,0.0,1,0,0.0,0,,,,,
00-0038090,S.Moore,KC,2022,16,WR,1.5,1,1,5.0,0,,,,,
00-0034928,S.Sims,PIT,2022,16,WR,1.7000000000000002,1,1,7.0,0,,,,,
00-0036572,S.Smith,CAR,2022,16,WR,2.7,2,1,17.0,0,,,,,
00-0031325,S.Watkins,BAL,2022,16,WR,5.0,1,1,40.0,0,,,,,
00-0036849,T.Atwell,LA,2022,16,WR,3.4000000000000004,2,2,14.0,0,,,,,
00-0033009,T.Boyd,CIN,2022,16,WR,5.1,4,3,21.0,0,,,,,
00-0037742,T.Burks,TEN,2022,16,WR,1.5,2,0,0.0,0,,,,,
00-0036410,T.Higgins,CIN,2022,16,WR,26.8,9,8,128.0,1,,,,,
00-0033040,T.Hill,MIA,2022,16,WR,14.3,6,4,103.0,0,,,,,
00-0029608,T.Hilton,DAL,2022,16,WR,6.2,1,1,52.0,0,,,,,
00-0035341,T.Irwin,CIN,2022,16,WR,19.5,4,3,45.0,2,,,,,
00-0036955,T.Marshall,CAR,2022,16,WR,7.5,3,2,55.0,0,,,,,
00-0035659,T.McLaurin,WAS,2022,16,WR,17.7,5,4,77.0,1,,,,,
